date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:19	5789/5789	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/temp7.js	./viz/vizualize.me/media/js/templates/temp7.js	(from http://vizualize.me/eddywebs)
18:07:04	42813/42813	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/temp6.js	./viz/vizualize.me/media/js/templates/temp6.js	(from http://vizualize.me/eddywebs)
18:07:44	11710/11710	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/utility.js	./viz/vizualize.me/media/js/utility.js	(from http://vizualize.me/eddywebs)
18:08:02	9831/9831	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/viz/skill.viz.js	./viz/vizualize.me/media/js/viz/skill.viz.js	(from http://vizualize.me/eddywebs)
18:08:05	49626/49626	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/edit.js	./viz/vizualize.me/media/js/edit.js	(from http://vizualize.me/eddywebs)
18:08:09	2391/2391	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/viz/interests.viz.js	./viz/vizualize.me/media/js/viz/interests.viz.js	(from http://vizualize.me/eddywebs)
18:08:27	6628/6628	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/viz/recommendations.viz.js	./viz/vizualize.me/media/js/viz/recommendations.viz.js	(from http://vizualize.me/eddywebs)
18:08:28	1556/1556	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/viz/header.viz.js	./viz/vizualize.me/media/js/viz/header.viz.js	(from http://vizualize.me/eddywebs)
18:08:36	61116/61116	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/temp4.js	./viz/vizualize.me/media/js/templates/temp4.js	(from http://vizualize.me/eddywebs)
18:08:36	2909/2909	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/viz/awards.viz.js	./viz/vizualize.me/media/js/viz/awards.viz.js	(from http://vizualize.me/eddywebs)
18:08:37	23459/23459	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/common/viz.raphael.js	./viz/vizualize.me/media/js/templates/common/viz.raphael.js	(from http://vizualize.me/eddywebs)
18:08:38	935/935	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/widget/title.widget.js	./viz/vizualize.me/media/js/templates/widget/title.widget.js	(from http://vizualize.me/eddywebs)
18:08:39	1614/1614	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/widget/icon.widget.js	./viz/vizualize.me/media/js/templates/widget/icon.widget.js	(from http://vizualize.me/eddywebs)
18:08:40	289/289	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/widget/hr.widget.js	./viz/vizualize.me/media/js/templates/widget/hr.widget.js	(from http://vizualize.me/eddywebs)
18:08:40	12451/12451	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/widget/timeline.widget.js	./viz/vizualize.me/media/js/templates/widget/timeline.widget.js	(from http://vizualize.me/eddywebs)
18:08:41	2358/2358	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2009%20Jul%202013%2020:12:36%20GMT	http://vizualize.me/media/js/templates/widget/header.widget.js	./viz/vizualize.me/media/js/templates/widget/header.widget.js	(from http://vizualize.me/eddywebs)
